0.027949,0,0.1007
0.077172,0.0049737,0.23071
0.13478,0.018506,0.22163
0.17543,0.027666,0.27296
0.22067,0.040329,0.38448
0.26466,0.058131,0.48467
0.31558,0.084942,0.52548
0.36573,0.11402,0.52822
0.41838,0.14474,0.5852
0.46683,0.17684,0.52964
0.49489,0.19328,0.56659
0.53191,0.21682,0.68947
0.56007,0.24005,0.62122
0.60454,0.27187,0.7274
0.64146,0.30474,0.81331
0.66943,0.33432,0.84328
0.70064,0.36937,0.90932
0.72452,0.40005,1.0127
0.74915,0.43949,1.0535
0.77444,0.48394,1.1379
0.79727,0.53333,1.2567
0.80503,0.55724,1.3394
0.81875,0.61545,1.3858
0.82853,0.6677,1.4586
0.83157,0.69473,1.4837
0.83532,0.73761,1.4421
0.84154,0.78566,1.4396
0.85101,0.85744,1.544
0.85209,0.89777,1.5836
0.85128,0.96151,1.6603
0.84681,1.0113,1.709
0.84221,1.0444,1.7801
0.83203,1.0922,1.7276
0.82677,1.1255,1.7425
0.81952,1.1674,1.7645
0.80885,1.2217,1.8222
0.79613,1.2712,2.0213
0.77918,1.3063,1.9538
0.75954,1.355,1.9337
0.74556,1.3918,1.9704
0.71847,1.456,2.0718
0.70492,1.4807,2.1046
0.68358,1.5168,2.122
0.64847,1.5739,2.1476
0.61596,1.6239,2.3071
0.59149,1.6509,2.3787
0.55081,1.6898,2.4311
0.49773,1.7355,2.3579
0.4438,1.7892,2.4671
0.41231,1.8144,2.5368
